nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
Pregunta P7.6.3 ¿La persona con quien tuvo su primera relación sexual fue otro?,1,C,p7_6_3,p7_6_3,"1,2",,,
Pregunta FILTRO.7.7 Filtro 7.7,1,C,filtro_7_7,filtro_7_7,"1,2",,,
"Pregunta P7.7 A lo largo de su vida, ¿ha sentido gusto o atracción...?",1,C,p7_7,p7_7,1...5,,,
Pregunta FILTRO.7.8 Filtro 7.8,1,C,filtro_7_8,filtro_7_8,"1,2",,,
"Pregunta P7.8 A lo largo de su vida, ¿ha tenido relaciones sexuales...?",1,C,p7_8,p7_8,1...5,,,
"Pregunta P7.9 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha tenido relaciones sexuales...?",1,C,p7_9,p7_9,1...6,,,
"Pregunta P7.10 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿cuántas parejas sexuales ha tenido?",2,C,p7_10,p7_10,"01...20,98,99",,,
"Pregunta P7.11 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿durante sus relaciones sexuales utilizó condón o protector bucal...?",1,C,p7_11,p7_11,"1...4,9",,,
"Pregunta P8.1 Conforme a lo anterior, ¿usted se considera...?",1,C,p8_1,p8_1,1...6,,,
Pregunta P8.1A Usted considera que su orientación es:,1,C,p8_1a,p8_1a,1...4,,,
Pregunta P8.1B ¿Cuál es su orientación?,160,C,p8_1b,,"A...Z,0...9",,,
Pregunta P8.2 ¿A qué edad se dio cuenta de su orientación?,2,C,p8_2,p8_2,"01...59,98",,,
Pregunta P8.3.1 ¿Quién o quiénes saben de su orientación? - Mamá,1,C,p8_3_1,p8_3_1,"1,2",,,
Pregunta P8.3.2 ¿Quién o quiénes saben de su orientación? - Papá,1,C,p8_3_2,p8_3_2,"1,2",,,
Pregunta P8.3.3 ¿Quién o quiénes saben de su orientación? - Hermanas(os),1,C,p8_3_3,p8_3_3,"1,2",,,
"Pregunta P8.3.4 ¿Quién o quiénes saben de su orientación? - Esposa(o), pareja",1,C,p8_3_4,p8_3_4,"1,2",,,
Pregunta P8.3.5 ¿Quién o quiénes saben de su orientación? - Otro familiar,1,C,p8_3_5,p8_3_5,"1,2",,,
Pregunta P8.3.6 ¿Quién o quiénes saben de su orientación? - Amiga(o),1,C,p8_3_6,p8_3_6,"1,2",,,
"Pregunta P8.3.7 ¿Quién o quiénes saben de su orientación? - Un especialista de la salud (psicólogo, médico, enfermera)",1,C,p8_3_7,p8_3_7,"1,2",,,
