p10_2,p4_1,niv,gra,p4_15,p8_5,p9_9,p11_6_08,p11_6_11,p11_4_3,p11_4_5,p11_8_1,p10_1_3,p10_1_5,pd4_10_8,p12_4_3,p12_3_1,p12_3_2
2,24,10,1,5.0,,,2,2,3.0,2.0,,2,2,1,1,2,2
2,25,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,1
2,22,8,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,2,2
2,47,8,4,5.0,,,2,2,,,,2,2,1,1,2,4
2,35,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,40,8,4,,,,2,2,,,,2,1,1,1,2,5
2,69,9,3,4.0,,,2,2,2.0,2.0,,2,2,1,1,2,5
2,57,8,2,,,,2,2,,,,2,1,1,1,3,5
2,62,5,2,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,49,5,2,,,,2,2,,,,2,1,1,1,3,5
2,39,8,4,4.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,24,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,1
2,40,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
1,24,8,3,,,,1,2,,,,1,1,1,2,1,2
2,25,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,32,3,3,,,,2,2,,,,1,1,1,1,4,5
2,52,3,3,5.0,,,2,2,,,,2,2,1,1,4,4
2,20,3,3,,2.0,,2,2,3.0,3.0,,1,1,1,1,3,5
2,64,2,6,5.0,,,2,2,,,2.0,1,2,1,1,4,4
2,24,5,2,5.0,,,2,2,,,,2,2,1,2,2,3
2,43,7,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,80,2,3,,,,2,2,,,,1,1,1,2,4,5
1,24,3,3,5.0,,,2,2,2.0,2.0,,1,1,2,2,2,2
2,42,2,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,25,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,1
2,26,6,1,,,,2,2,2.0,2.0,,2,2,1,1,4,5
2,30,6,1,1.0,,,2,2,,,,2,2,1,1,4,4
2,36,6,2,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,30,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,75,2,6,,,,2,2,,,,2,1,1,1,4,5
1,50,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,4
2,49,2,2,5.0,,,2,2,,,,2,2,1,2,4,4
2,55,2,5,,,,2,2,,,,2,2,1,1,4,5
2,57,3,3,1.0,,,2,2,1.0,2.0,,2,2,1,1,4,4
2,39,2,6,5.0,,,2,2,,,,2,2,1,1,4,3
2,23,3,3,4.0,2.0,,2,2,2.0,2.0,,2,2,1,1,4,4
1,45,6,3,,,,2,2,2.0,2.0,,1,1,1,2,4,5
2,46,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,50,6,2,,,,2,2,,,,2,1,1,1,2,5
2,63,5,2,,,,1,2,,,,1,1,1,1,3,5
2,60,7,2,,,,2,2,,,,2,2,1,1,4,5
2,18,6,2,3.0,,,2,2,,,,2,2,1,1,3,4
2,17,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,2,4,4
2,59,2,4,,,,2,2,,,,2,2,1,1,4,5
2,45,2,6,3.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,53,2,6,,,,2,2,,,2.0,2,2,1,1,4,5
2,27,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,71,2,5,,,,2,2,,,,1,2,1,2,4,5
2,44,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,61,0,0,,,,2,2,,,2.0,2,2,1,1,4,5
2,23,3,3,,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,31,6,2,,,,2,2,,,,2,2,1,1,3,5
2,41,8,4,1.0,,9.0,2,2,2.0,2.0,,2,1,1,1,2,3
2,68,2,5,5.0,,,2,2,2.0,2.0,,2,1,1,1,3,2
2,20,8,1,,2.0,,2,2,,,,1,1,2,1,4,1
2,65,3,1,5.0,,,2,2,,,2.0,2,2,1,1,4,3
2,54,8,1,,,,2,2,,,,1,1,1,1,2,2
2,62,8,5,,,,2,2,2.0,2.0,2.0,2,2,1,1,4,5
2,23,8,5,,,,2,2,,,,2,2,1,1,3,5
2,41,8,5,5.0,,,2,2,,,,2,2,1,1,3,3
2,69,2,4,,,,2,2,,,,2,2,1,1,1,5
2,24,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
1,27,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,4
1,47,5,2,1.0,,,2,2,1.0,1.0,,1,2,1,1,3,4
2,28,8,3,1.0,,,2,2,,,,2,2,1,1,1,1
2,33,8,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,42,3,3,4.0,,,2,2,,,,2,2,1,1,2,2
2,71,3,3,4.0,,,2,2,2.0,2.0,,1,2,1,1,4,1
2,58,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,68,3,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,34,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,63,2,3,,,,2,2,,,2.0,2,2,1,2,4,5
2,46,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,4
2,37,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
2,50,3,3,5.0,,,2,2,,,,1,1,1,1,3,4
2,58,2,6,,,,2,2,,,2.0,1,2,1,1,4,5
2,23,6,3,1.0,2.0,,2,2,2.0,2.0,,1,1,1,1,3,1
2,71,2,1,,,,2,2,,,,1,1,1,2,4,5
2,20,8,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
2,49,5,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,29,3,3,,,,2,2,,,,2,2,1,1,3,2
2,24,3,2,,,2.0,2,2,,,2.0,1,2,1,1,1,2
2,55,6,2,4.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,26,6,3,1.0,9.0,,2,2,2.0,2.0,,2,2,1,1,3,2
2,24,8,3,,,,2,2,,,,2,2,1,1,3,5
2,47,3,3,5.0,,,2,2,3.0,3.0,,2,2,1,1,3,4
2,59,7,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,2,1
2,22,3,3,1.0,2.0,,2,2,2.0,2.0,,2,2,1,1,2,4
1,55,5,3,3.0,,,2,2,1.0,1.0,,1,1,1,1,4,2
2,42,0,0,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,4
2,58,3,3,1.0,,,2,2,2.0,2.0,,1,1,2,3,3,3
2,23,6,2,,,,2,2,2.0,2.0,,1,1,1,1,4,5
2,27,8,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,1
1,41,3,3,5.0,,,2,2,3.0,3.0,,1,1,1,1,2,4
2,36,8,5,5.0,,,2,2,,,,1,1,1,1,2,3
2,27,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,50,3,3,,,,2,2,,,,2,2,1,1,4,5
2,59,3,3,,,,2,2,,,,1,1,1,1,4,5
2,26,8,5,,,,2,2,,,,2,1,1,1,3,5
1,55,0,0,1.0,,,1,2,1.0,1.0,,1,1,1,1,1,2
2,33,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,3
2,18,6,2,3.0,,,2,2,,,,1,1,1,1,2,2
2,51,3,3,5.0,,,2,2,,,,2,1,1,1,1,1
2,24,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,57,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,17,6,1,,2.0,,2,2,2.0,2.0,,2,2,1,1,4,1
2,58,3,3,,,,2,2,2.0,1.0,,2,2,1,1,3,4
2,39,6,3,1.0,,,2,2,2.0,2.0,2.0,1,1,1,1,3,3
2,35,2,6,,,,2,2,,,2.0,2,2,1,1,4,5
2,49,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,2,4
2,56,6,2,1.0,,,2,2,2.0,2.0,2.0,2,1,1,1,3,3
2,25,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
1,55,3,3,5.0,,,2,2,1.0,2.0,,1,2,1,1,2,4
2,53,6,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
1,30,2,5,,,,2,2,,,,1,1,1,1,3,5
2,21,7,3,,,,2,2,2.0,2.0,,2,2,1,1,2,5
2,52,0,0,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,19,8,2,,2.0,,2,2,2.0,2.0,,1,2,1,1,2,1
2,18,6,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,4
2,27,6,2,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,2,2
2,46,8,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,1
2,54,5,3,1.0,,,2,2,1.0,2.0,,2,2,1,1,2,2
2,71,2,4,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
1,52,3,3,5.0,,,2,2,,,,1,2,1,1,3,4
2,59,2,6,4.0,,,2,2,,,2.0,1,1,2,1,4,4
2,25,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
2,59,0,0,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,22,8,5,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,2
2,41,8,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,3
1,65,2,6,5.0,,,2,2,2.0,2.0,,1,1,2,5,2,2
2,38,7,2,1.0,,,2,2,2.0,2.0,2.0,2,1,1,1,3,3
2,43,8,5,1.0,,,2,2,2.0,2.0,,1,1,1,1,2,1
2,31,8,5,4.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,21,8,3,,,,2,2,,,,2,1,1,1,2,3
2,29,8,4,6.0,,,2,2,,,,1,1,1,1,3,2
1,25,8,5,5.0,,,2,2,,,,2,1,1,2,1,1
2,53,7,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,36,3,3,5.0,,,2,2,,,,2,2,1,1,3,3
2,50,6,3,,,,2,2,,,,2,2,1,1,4,5
1,25,8,5,1.0,,,2,2,1.0,2.0,,2,1,2,1,2,2
2,22,3,3,,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,27,8,4,1.0,,,1,2,2.0,2.0,,2,1,1,1,2,2
2,49,8,1,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,23,8,1,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,2
1,25,8,1,,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,33,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,5
1,48,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,52,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,33,3,3,,,,2,2,,,,2,2,1,1,4,5
2,39,3,3,,,,2,2,,,,2,1,1,1,2,5
2,36,8,5,1.0,,,2,2,2.0,1.0,,2,2,1,2,1,2
1,71,3,3,,,,2,2,,,,1,1,1,2,4,5
2,46,8,5,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,30,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,25,8,2,1.0,,,2,2,3.0,3.0,,1,1,1,1,2,1
2,25,3,3,3.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
2,30,3,3,5.0,,,2,2,2.0,2.0,,1,1,1,3,4,4
2,34,3,3,,,,2,2,,,,2,1,1,1,2,5
2,53,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,55,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,2
2,18,3,3,,,,2,2,,,,2,2,1,1,3,5
2,15,3,3,6.0,,,2,2,,,,2,2,1,1,4,4
1,34,6,3,,,,2,2,,,,1,1,1,1,3,5
2,85,0,0,3.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,42,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,21,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
1,33,3,3,6.0,2.0,,2,2,,,2.0,1,1,1,1,4,4
2,30,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,24,6,3,1.0,,,2,2,,,,2,2,1,1,4,4
1,38,7,2,1.0,,,2,2,2.0,2.0,,1,1,1,2,4,3
2,27,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,2,2
2,38,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,51,6,2,5.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,79,2,5,,,,2,2,,,,2,2,1,1,4,5
2,45,7,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
1,22,8,4,1.0,2.0,,2,2,2.0,2.0,,1,2,1,1,2,2
2,89,0,0,,,,2,2,,,,2,1,1,1,5,5
2,20,8,2,1.0,,,2,2,,,,2,2,1,1,2,5
2,54,6,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,1
2,30,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,33,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,2,3,2
2,48,10,1,,,,1,2,,,,2,1,1,1,2,5
2,50,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,2,4
2,57,5,3,1.0,,,2,2,2.0,2.0,,1,1,2,1,2,2
2,58,8,5,4.0,2.0,,2,2,2.0,2.0,,2,2,1,1,1,3
2,39,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,48,3,3,5.0,,,2,2,3.0,3.0,,2,2,1,1,4,4
2,71,8,4,,,,2,2,,,,1,2,1,1,3,5
2,71,9,3,,,,2,2,,,2.0,1,1,1,2,3,5
2,20,8,1,1.0,,,2,2,1.0,2.0,,1,1,1,1,3,3
2,69,2,6,,,,2,2,,,,1,1,1,1,4,5
2,25,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,72,3,1,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,5
1,74,2,6,,,,2,2,1.0,2.0,,1,1,1,1,1,5
2,88,0,0,,,,2,2,,,,2,2,1,1,4,5
2,59,2,4,1.0,,2.0,2,2,2.0,2.0,,1,1,1,1,3,4
2,22,6,3,1.0,,,2,2,,,,2,2,1,1,3,3
2,47,8,5,1.0,,,2,2,2.0,2.0,,1,1,1,2,3,3
2,22,8,1,,,,2,2,2.0,2.0,,2,1,1,1,4,1
2,22,8,1,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,68,2,6,,,,2,2,,,2.0,2,2,1,1,4,5
2,60,5,3,,,,2,2,,,,1,1,1,1,1,5
2,28,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,2
2,61,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,26,3,3,,2.0,,2,2,2.0,2.0,,1,1,1,1,3,5
2,55,8,1,5.0,,,2,2,1.0,2.0,,1,1,1,2,4,4
1,19,6,1,1.0,,,1,2,,,,1,1,1,1,1,4
2,34,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,29,3,3,,,,2,2,,,,2,1,1,1,4,5
2,27,6,2,1.0,,,2,2,2.0,2.0,,2,1,1,2,2,3
1,18,6,2,,,,2,2,,,,2,1,2,2,3,3
2,69,4,4,,,,2,2,,,,2,1,1,1,3,5
2,72,2,6,,,,2,2,,,,2,2,1,1,4,5
2,60,2,6,,,,2,2,,,2.0,2,2,1,1,5,5
2,56,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
1,41,7,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,1,3
2,45,8,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
2,46,6,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,58,7,3,5.0,2.0,,2,2,2.0,2.0,2.0,2,2,1,1,3,4
2,32,8,5,1.0,,,2,2,,,,1,2,1,1,3,5
2,24,8,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,2,1
2,38,3,3,,,,2,2,2.0,2.0,,2,2,1,1,4,5
2,22,3,3,,,,2,2,2.0,2.0,,2,1,1,1,1,5
2,83,5,3,,,,2,2,,,,2,2,1,1,4,5
2,39,8,5,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,1
2,38,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
1,72,2,6,,,,2,2,,,,2,1,1,1,4,5
2,30,9,2,5.0,,,2,2,1.0,2.0,,1,1,1,1,4,3
2,50,6,2,1.0,,,2,2,2.0,2.0,,1,1,1,2,4,4
2,29,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,36,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,41,2,2,1.0,,,2,2,,,2.0,1,2,1,3,4,4
2,43,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,1
2,58,3,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,1,3
2,61,3,1,,,,2,2,2.0,2.0,,2,2,1,1,2,2
1,16,3,1,,,,2,2,,,,2,1,1,2,4,5
2,72,2,6,,,,2,2,,,,2,2,1,1,4,5
2,42,6,3,,,,2,2,2.0,2.0,,2,1,1,1,3,5
2,79,2,2,,,,2,2,,,2.0,1,1,1,1,4,5
2,84,2,4,,,,2,2,,,,2,1,1,1,4,5
2,78,8,5,1.0,,,2,2,,,,2,2,1,1,4,4
2,52,5,3,,,,2,2,,,2.0,1,1,1,1,2,5
2,37,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,56,7,2,,,,2,2,,,2.0,2,2,1,1,4,5
2,69,2,6,,,,2,2,,,2.0,1,2,1,1,2,5
2,17,3,3,,,,2,2,,,,2,1,1,1,3,5
2,27,2,6,,,,2,2,,,,2,2,1,1,4,5
2,55,7,3,5.0,,,2,2,,,,1,1,1,1,3,3
2,73,2,4,,,,2,2,,,,1,2,1,1,2,9
2,47,7,2,,,,2,2,,,,2,2,1,1,3,5
2,40,2,6,,,,2,2,,,,2,2,1,2,4,5
2,35,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,1
2,50,6,2,1.0,,,2,2,,,,2,2,1,1,3,3
2,34,6,2,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,40,2,3,3.0,,2.0,2,2,,,,2,2,1,3,4,4
1,15,2,6,,,,2,2,,,,1,1,1,1,1,5
2,26,3,3,1.0,,,2,2,2.0,1.0,,2,1,1,1,3,4
2,16,6,1,,,,2,2,,,,1,1,1,1,3,2
2,23,3,3,1.0,,,2,2,2.0,2.0,2.0,2,1,1,2,1,1
2,37,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,46,6,3,1.0,,,2,2,2.0,2.0,2.0,2,1,1,2,4,2
2,47,6,1,5.0,,,2,2,2.0,2.0,,2,2,1,1,1,2
2,22,3,3,3.0,,,2,2,2.0,2.0,2.0,1,1,1,1,3,3
2,66,2,1,,,,2,2,,,,1,2,1,1,4,5
2,51,3,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,17,6,2,,,,2,2,,,,2,1,1,2,2,5
1,71,2,2,,,,2,2,,,2.0,1,1,1,2,4,5
2,60,3,3,,,,2,2,,,,2,2,1,1,4,5
2,86,3,2,,,,2,2,,,,2,1,1,1,1,5
2,33,5,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
2,16,6,1,,,,2,2,,,,1,1,1,1,3,1
2,47,6,1,1.0,,,2,2,2.0,2.0,2.0,2,1,1,1,3,1
2,23,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,42,6,3,5.0,,,2,2,,,,2,1,1,2,3,3
2,69,2,3,,,,2,2,,,,2,2,1,1,2,5
1,64,5,2,,,,2,2,,,,1,1,1,1,4,5
2,33,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,2,4,3
2,37,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,15,3,3,,2.0,2.0,2,2,,,,1,1,1,2,2,2
2,36,3,3,,,,2,2,,,,2,2,1,2,3,5
2,49,6,2,1.0,,,2,2,,,,2,1,1,1,4,4
1,20,6,2,,,,2,2,,,,2,1,1,1,3,2
1,32,6,1,1.0,,,2,2,2.0,2.0,,1,1,1,1,2,2
2,65,7,3,,,,2,2,,,,2,2,1,1,4,5
1,38,3,3,1.0,,,2,2,2.0,1.0,,2,2,1,2,4,4
2,25,8,5,1.0,,,2,2,,,,2,2,1,1,2,1
2,73,8,5,5.0,,,2,2,2.0,2.0,,1,1,2,2,3,3
2,49,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,16,6,1,,,,2,2,,,,2,2,1,1,4,2
2,59,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,18,6,3,,,,2,2,,,,1,1,1,1,2,2
2,47,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,4
2,89,2,3,,,,2,2,,,,2,2,2,1,4,5
2,58,2,6,,,,2,2,,,,2,2,1,1,1,5
2,18,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,2,5
2,32,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,63,5,3,,,,2,2,,,,2,2,2,2,4,5
2,27,3,3,1.0,,,2,2,,,,2,1,1,1,4,4
2,41,6,3,1.0,,,2,2,2.0,2.0,,2,2,2,1,4,4
2,21,6,3,1.0,,,2,2,,,,2,2,1,1,2,4
2,43,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,43,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,17,6,2,,,2.0,2,2,,,,2,1,1,1,3,1
2,45,2,6,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,63,3,3,,,,2,2,,,,1,1,1,1,4,5
2,75,2,3,,,,2,2,,,,2,2,1,1,4,5
2,29,8,4,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,66,3,1,1.0,,,2,2,,,,1,2,1,1,3,4
2,54,3,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,53,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,18,3,3,1.0,,,2,2,2.0,2.0,2.0,2,1,1,1,3,5
2,68,2,6,,,,2,2,2.0,2.0,,2,1,1,3,4,5
2,21,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,48,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
2,56,3,3,,,,2,2,,,,2,2,1,1,3,5
2,25,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,49,3,2,,2.0,,2,2,,,,2,1,1,2,3,9
2,61,6,3,,,,2,2,,,,2,1,1,1,1,5
2,55,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,30,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,37,3,3,1.0,,,2,2,,,,2,2,1,1,3,2
1,22,6,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,1
2,30,3,3,1.0,,,2,2,,,,2,1,1,2,4,4
2,19,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,17,6,3,,,,2,2,1.0,2.0,,2,1,1,1,3,5
2,47,3,3,5.0,,,2,2,,,,2,2,1,1,1,2
2,57,5,3,1.0,,,2,2,,,,2,2,1,2,1,1
2,42,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,50,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,49,3,3,1.0,,,2,2,2.0,2.0,2.0,1,2,1,1,3,4
2,27,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,20,8,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,1
2,45,9,2,,,,2,2,,,2.0,2,1,1,1,3,5
2,32,8,1,5.0,,,2,2,,,,2,1,1,1,1,1
2,76,7,3,,,,2,2,,,,2,2,1,1,1,5
2,54,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,53,6,2,5.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,45,3,3,,,,2,2,,,,2,1,1,1,3,5
2,49,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,53,8,5,5.0,,,2,2,2.0,2.0,,2,1,1,1,1,3
2,30,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,50,7,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,49,6,2,,,,2,2,2.0,2.0,,2,2,1,1,3,5
2,30,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,65,2,6,,,,2,2,,,,2,2,1,1,3,5
2,57,7,3,,,,2,2,,,,2,1,1,1,4,5
2,35,8,5,5.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,48,10,2,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,1
2,52,8,5,,,,2,2,,,,2,1,1,1,2,5
2,28,8,5,5.0,2.0,,2,2,,,,1,1,1,2,3,3
2,36,3,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,4
2,17,3,3,1.0,,,1,2,2.0,2.0,2.0,1,1,1,1,3,4
2,20,7,3,,,,2,2,2.0,2.0,,2,1,1,1,3,5
2,61,2,6,,,,2,2,2.0,2.0,,1,1,1,1,2,9
2,47,7,3,,,,2,2,,,2.0,2,1,1,1,4,5
2,49,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,46,3,3,,,,2,2,3.0,2.0,,1,1,1,2,2,5
1,22,7,3,1.0,2.0,2.0,2,2,,,,1,1,1,2,1,1
2,35,8,5,,,,2,2,,,,1,1,1,1,3,5
2,52,8,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,40,5,3,5.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
1,22,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,2,3,4
2,38,8,4,1.0,,,2,2,2.0,2.0,,1,1,1,2,3,3
2,54,3,3,,,,2,2,2.0,2.0,,1,2,1,1,3,2
1,33,3,3,,,,2,2,,,,1,1,1,1,2,4
2,52,8,5,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,1
2,18,8,1,,,,2,2,,,,2,2,1,1,3,2
2,26,5,2,1.0,,,2,2,2.0,2.0,,1,1,1,2,3,3
2,64,1,3,,,,2,2,2.0,2.0,,1,2,1,1,4,5
2,20,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,47,2,2,1.0,,,2,2,,,2.0,2,1,1,2,3,1
2,47,3,3,1.0,,,2,2,,,,1,2,1,1,4,4
2,27,2,6,,,,1,2,,,2.0,1,1,1,2,4,5
2,15,3,3,,,,2,2,,,,2,2,1,1,4,5
2,15,2,6,,,,2,2,,,,2,1,2,1,4,5
1,49,5,3,,,,2,2,2.0,2.0,,1,1,1,2,4,5
2,40,3,3,,,,2,2,,,,2,2,1,1,2,5
2,55,7,3,,,,2,2,,,,2,2,1,1,4,5
2,53,3,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,49,6,1,1.0,,,2,2,2.0,2.0,,1,1,2,2,4,4
2,73,8,4,,,,2,2,,,,2,1,1,1,3,3
2,40,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,38,6,3,5.0,,,2,2,,,,2,1,1,1,3,2
2,41,5,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,19,6,2,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,3
2,59,2,6,,,,2,2,,,,1,2,1,1,2,5
