p10_2,p4_1,niv,gra,p4_15,p8_5,p9_9,p11_6_08,p11_6_11,p11_4_3,p11_4_5,p11_8_1,p10_1_3,p10_1_5,pd4_10_8,p12_4_3,p12_3_1,p12_3_2
2,22,8,3,,,,2,2,,,,1,1,1,1,2,1
2,61,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,42,6,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,2,4,4
2,33,2,6,,,,2,2,2.0,2.0,,1,1,1,1,4,5
2,17,6,2,,,,2,2,,,,2,2,1,2,3,1
2,53,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,51,6,2,5.0,,,2,2,,,,1,2,1,1,4,5
2,18,6,3,3.0,,,2,2,2.0,2.0,,2,1,1,1,4,3
2,61,2,6,,,,2,2,,,2.0,2,2,1,2,2,5
1,43,6,3,5.0,,,2,2,2.0,2.0,,1,1,2,2,3,2
2,15,3,3,,,,2,2,,,,2,2,1,1,3,2
2,59,6,3,4.0,,,2,2,2.0,2.0,,1,2,1,1,4,3
2,33,6,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,40,2,6,1.0,,,2,2,,,,1,1,1,2,2,3
2,70,0,0,,,,2,2,,,2.0,1,2,1,1,4,5
1,27,8,3,5.0,,,2,2,3.0,3.0,,1,1,1,2,2,4
2,18,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,53,2,6,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
2,44,6,3,5.0,,,2,2,2.0,2.0,,2,2,1,2,3,3
2,62,0,0,5.0,,,2,2,,,,1,1,2,1,3,5
2,64,8,4,,,,2,2,2.0,2.0,2.0,2,2,1,2,2,5
2,42,8,5,1.0,2.0,,2,2,2.0,2.0,,1,1,1,2,2,2
2,43,2,5,,,,2,2,2.0,2.0,,1,2,1,1,4,5
2,54,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,15,3,3,1.0,1.0,1.0,2,2,,,,1,1,2,3,4,2
2,26,3,3,,,,2,2,2.0,2.0,,2,2,1,1,3,5
1,16,2,6,1.0,,,2,2,2.0,2.0,,1,1,2,3,4,2
2,43,2,6,,,,2,2,2.0,2.0,,1,1,1,1,4,4
1,22,3,2,,,,2,2,2.0,2.0,,1,1,1,2,4,5
2,15,3,3,,2.0,,2,2,1.0,2.0,,2,2,1,1,4,3
2,45,2,4,,,,2,2,,,,1,1,1,1,3,5
2,56,2,5,,,,2,2,,,,2,2,2,2,2,5
2,21,2,6,,2.0,,2,2,,,,2,2,1,1,4,4
1,36,2,1,1.0,,,2,2,2.0,2.0,,2,1,2,1,3,3
2,68,2,6,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,3
2,60,5,3,5.0,,,2,2,2.0,2.0,,2,1,1,1,1,4
